身份证	身份证 🪪
游戏	游戏 🎮 🎰 🎲 🎯 🎳 🪅 🎧 🎤 🎪 🎫 🎟 ♟ 🕹 🖲 🪀
数码	数码 ⌚️ 📱 💻 ⌨️ 🖥 🖨 🖱 📷 📹 💾 💽 💿 📀
电子	电子 ⌚️ 📱 💻 ⌨️ 🖥 🖨 🖱 📷 📹 💾 💽 💿 📀
足球	足球 ⚽
棒球	棒球 ⚾
垒球	垒球 🥎
排球	排球 🏐
橄榄球	橄榄球 🏈 🏉
悠悠球	悠悠球 🪀
风筝	风筝 🪁
美式足球	美式足球 🏈
网球	网球 🎾
飞盘	飞盘 🥏
保龄球	保龄球 🎳
板球	板球 🏏
曲棍球	曲棍球 🏑 🏒 🥍
乒乓球	乒乓球 🏓
羽毛球	羽毛球 🏸
羽毛	羽毛 🪶
拳击	拳击 🥊
柔道	柔道 🥋
滑冰	滑冰 ⛸
旱冰	旱冰 🛼
轮滑	轮滑 🛼
钓鱼	钓鱼 🎣
鱼竿	鱼竿 🎣
运动服	运动服 🎽
雪橇	雪橇 🛷
冰壶	冰壶 🥌
飞镖	飞镖 🎯 🪃
回旋镖	回旋镖 🪃
台球	台球 🎱
手柄	手柄 🎮
骰子	骰子 🎲 ⚀ ⚁ ⚂ ⚃ ⚄ ⚅
色子	色子 🎲 ⚀ ⚁ ⚂ ⚃ ⚄ ⚅
拼图	拼图 🧩
国际象棋	国际象棋 ♔ ♕ ♖ ♗ ♘ ♙ ♚ ♛ ♜ ♝ ♞ ♟
象棋	象棋 🩠 🩡 🩢 🩣 🩤 🩥 🩦 🩧 🩨 🩩 🩪 🩫 🩬 🩭
面具	面具 🎭 🤿
画画	画画 🎨
音乐	音乐 🎼 🎹 🎵 🎶 𝄞 ♩ ♪ ♫ ♬ ♭ ♮ ♯ 🔀 🔁 🔂 ▶ ⏩ ◀ ⏪ 🔼 ⏫ 🔽 ⏬ ⏹ ⏏
音符	音符 🎵 🎶 ♩ ♪ ♫ ♬
音调	音调 ♭ ♮ ♯
麦克风	麦克风 🎤 🎙
话筒	话筒 🎤 🎙
耳机	耳机 🎧
萨克斯	萨克斯 🎷
吉他	吉他 🎸
喇叭	喇叭 🎺 📯 📢 📣
号	号 🎺 📯
小提琴	小提琴 🎻
提琴	提琴 🎻
沙球	沙球 🪇
手风琴	手风琴 🪗
班卓	班卓 🪕
油灯	油灯 🪔
斧子	斧子 🪓
梯子	梯子 🪜
梯	梯 🪜
电梯	电梯 🛗
钩	钩 🪝
钩子	钩子 🪝
锯	锯 🪚
螺丝刀	螺丝刀 🪛
鼓	鼓 🥁 🪘
电影	电影 🎬 🎥 🎞 📽 🎦 🈙
弓	弓 🏹
弓箭	弓箭 🏹
摩托	摩托 🏍
摩托车	摩托车 🏍
赛车	赛车 🏎
山	山 🏔 ⛰ 🌋 🗻
火山	火山 🌋
富士山	富士山 🗻
露营	露营 🏕
海滩	海滩 🏖
沙漠	沙漠 🏜
岛	岛 🏝
小岛	小岛 🏝
岛屿	岛屿 🏝
公园	公园 🏞
运动场	运动场 🏟
房子	房子 🏘 🏚 🏠 🏡 🛖 ⌂
屋	屋 🏘 🏚 🏠 🏡 🛖 ⌂
屋子	屋子 🏘 🏚 🏠 🏡 🛖 ⌂
住宅	住宅 🏘 🏚 🏠 🏡 🛖 ⌂
茅屋	茅屋 🛖
茅舍	茅舍 🛖
别墅	别墅 🏡 🏘️
家	家 🏠 🏡 ⌂
办公楼	办公楼 🏢
邮局	邮局 🏣 🏤
医院	医院 🏥
银行	银行 🏦
宾馆	宾馆 🏨 🏩
旅馆	旅馆 🏨 🏩
学校	学校 🏫
商店	商店 🏪 🏬
商标	商标 ™ ℠ ®
版权	版权 ©️ ℗
便利店	便利店 🏪
商场	商场 🏬
工厂	工厂 🏭
城堡	城堡 🏯 🏰
结婚	结婚 💒
塔	塔 🗼
东京铁塔	东京铁塔 🗼
自由女神	自由女神 🗽
教堂	教堂 ⛪
清真寺	清真寺 🕌
天房	天房 🕋
犹太	犹太 🕍
神社	神社 ⛩
鸟居	鸟居 ⛩
喷泉	喷泉 ⛲
帐篷	帐篷 ⛺
夜晚	夜晚 🌃 🌉
城市	城市 🏙
日出	日出 🌄 🌅
日落	日落 🌆 🌇
黄昏	黄昏 🌆 🌇
傍晚	傍晚 🌆 🌇
银河	银河 🌌
球	球 ⚽️ 🏀 🏈 🏐 🏉 ⚾ 🥎️ 🎾 🎱 🏓 🏸 🏒 🏑 🏏 🛹 🥍
甜点	甜点 🍮 🍩 🍪 🍧 🍨 🍦 🍰 🧁
甜食	甜食 🍯 🍰 🍮 🎂 🍭 🍬 🍫 🍩 🍪 🍦 🧁
电器	电器 💡 📺 ☎️ 📟 📞 📠 📻 🕰 📡 🔦 🎚️ 🎛️
旋转木马	旋转木马 🎠
摩天轮	摩天轮 🎡
过山车	过山车 🎢
游乐园	游乐园 🏟 🎡 🎢 🎠
降落伞	降落伞 🪂
跳伞	跳伞 🪂
伞兵	伞兵 🪂
火车	火车 🚂 🚆 🚄 🚅 🚝 🚉
电车	电车 🚃
高铁	高铁 🚄 🚅
地铁	地铁 🚇 Ⓜ️
轻轨	轻轨 🚈 🚊 🚝 🚞 🚋
车站	车站 🚉 🚏
公交	公交 🚌 🚍 🚎 🚐 🚏
巴士	巴士 🚌 🚍 🚎 🚐
汽车	汽车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🚔 🚍 🚘 🚖
缆车	缆车 🚡
车	车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🛻 🚔 🚍 🚘 🚖 🛺
运动	运动 🏒 🏸 🏓 🏑 🏏 ⛳️ 🏹 ⚽️ 🏀 🏈 ⚾ 🥎️ 🎾 🏐 🏉 🎱 ⛸ 🎿 🎳 🥏 🥍 🛹
零食	零食 🍭 🍬 🍫 🍿 🍩 🍪
面包	面包 🍞 🥐 🥖 🥨 🥯 🍩 🥮
飞行器	飞行器 🛩 ✈️ 🚁 🚀 🛸
餐具	餐具 🥄 🍴 🍽 🥣 🥢
碗	碗 🥣
饭	饭 🍛 🍲 🍝 🍜 🥘 🍣 🍱 🍘 🍙 🍚 🥡
饮料	饮料 🍹 🍸 🍵 ☕️ 🥛 🍷 🥃 🍶 🥂 🍾 🍻 🍺 🧃 🧉
救护车	救护车 🚑
消防车	消防车 🚒
警车	警车 🚓 🚔 🚨
出租车	出租车 🚕 🚖 🚗 🚘
货车	货车 🚚 🚛 🛻
拖拉机	拖拉机 🚜
自行车	自行车 🚲
单车	单车 🚲
板车	板车 🛴 🛵
脚踏车	脚踏车 🛴
电动车	电动车 🛵
铁轨	铁轨 🛤
加油	加油 ⛽ (ง•̀_•́)ง
红绿灯	红绿灯 🚥 🚦
施工	施工 🚧
锚	锚 ⚓
船	船 ⛵ 🚤 🛳 ⛴ 🛥 🚢 ⛵️ 🛶 ⚓️ 𓊛
飞机	飞机 ✈ 🛩 🛫 🛬
座位	座位 💺
直升机	直升机 🚁
卫星	卫星 🛰
人造卫星	人造卫星 🛰
火箭	火箭 🚀
飞碟	飞碟 🛸
烟花	烟花 🎆 🎇
烟火	烟火 🎆 🎇
礼花	礼花 🎆 🎇
中秋节	中秋节 🎑
中秋	中秋 🎑
人民币	人民币 ￥
日元	日元 💴 円 ￥
美元	美元 💵 $ ㌦
欧元	欧元 💶 €
英镑	英镑 💷 ￡
韩元	韩元 ₩
法郎	法郎 ₣
复活节岛	复活节岛 🗿
安检	安检 🛂 🛃 🛄 🛅
危险	危险 ☠ ☢ ☣
洗澡	洗澡 🛀 🛀🏻 🛀🏼 🛀🏽 🛀🏾 🛀🏿 🚿
睡觉	睡觉 😴 😪 💤 🛌 🛌🏻 🛌🏼 🛌🏽 🛌🏾 🛌🏿
晚安	晚安 😴 😪 💤 🛌 🛌🏻 🛌🏼 🛌🏽 🛌🏾 🛌🏿
睡眠	睡眠 🛌 🛌🏻 🛌🏼 🛌🏽 🛌🏾 🛌🏿
困	困 😪 😴 🥱
睏	睏 😪 😴 🥱
哈欠	哈欠 🥱
打哈欠	打哈欠 🥱
情书	情书 💌
炸弹	炸弹 💣
洞	洞 🕳
方便袋	方便袋 🛍
购物袋	购物袋 🛍
购物	购物 🛒 🛍
购物车	购物车 🛒
手串	手串 📿
佛珠	佛珠 📿
钻石	钻石 💎
宝石	宝石 💎
石	石 🪨
石头	石头 🪨
岩石	岩石 🪨
苯	苯 ⌬ ⏣
苯环	苯环 ⌬ ⏣
刀	刀 🔪 🗡️ 🍴 🍽️
菜刀	菜刀 🔪
罐	罐 🫙 🏺
坛	坛 ⚱️
地图	地图 🗺 🗾
岛国	岛国 🗾
世界	世界 🗺
世界地图	世界地图 🗺
指南针	指南针 🧭
砖	砖 🧱
砖头	砖头 🧱
砖块	砖块 🧱
理发店	理发店 💈
油桶	油桶 🛢
桶	桶 🪣 🛢 🗑
水桶	水桶 🪣
科学	科学 🔬 🔭 ⚗️ ⚛️ 👨🏻‍🔬 👩🏻‍🔬 🧬 🧪 🧫
舵	舵 ☸️
粗粮	粗粮 🌽 🥔 🍠 🥜 🌰
纸币	纸币 💵 💶 💷 💴 🧻
引号	引号 “” ‘’ " '
铃	铃 🛎 🔔 🔕 ⍾
铃铛	铃铛 🔔 🔕
喜	喜 囍
双喜	双喜 囍
重点	重点 ※
重要	重要 ※
四边形	四边形 ⎕ ⏥
平行四边形	平行四边形 ⏥
矩形	矩形 ⎕
长方形	长方形 ⎕
六边形	六边形 ⎔
梯形	梯形 ⏢
沙漏	沙漏 ⌛ ⏳
手表	手表 ⌚
闹钟	闹钟 ⏰
闹铃	闹铃 ⏰
秒表	秒表 ⏱ ⏲
座钟	座钟 🕰
温度计	温度计 🌡
摄氏度	摄氏度 ℃
华氏度	华氏度 ℉
度	度 ° ℃ ℉
分	分 ′ ㌣
秒	秒 ″ ‴ 〃 ㎰ ㎱ ㎲ ㎳
鞭炮	鞭炮 🧨
爆竹	爆竹 🧨
气球	气球 🎈
娃娃	娃娃 🎎 🪆
鲤鱼	鲤鱼 🎏
鲤鱼旗	鲤鱼旗 🎏
风铃	风铃 🎐
红包	红包 🧧
礼物	礼物 🎁 🎀
蝴蝶结	蝴蝶结 🎀
水晶球	水晶球 🔮
护身符	护身符 🧿
泰迪熊	泰迪熊 🧸
画	画 🖼
调节	调节 🎚 🎛
收音机	收音机 📻
来电	来电 📲
电话	电话 ☎ ☏ 📞 ℡ 📱 📲 ✆ 🤙
传呼机	传呼机 📟
传真	传真 📠 ℻
电池	电池 🔋 🪫
插销	插销 🔌
插头	插头 🔌
充电	充电 🔌
笔记本	笔记本 💻 📔 📓
电脑	电脑 💻 🖥
台式机	台式机 🖥
打印机	打印机 🖨 ⎙
打印	打印 🖨 ⎙
接地	接地 ⏚
地	地 ⏚
保险丝	保险丝 ⏛
键盘	键盘 ⌨
鼠标	鼠标 🖱 🖲
盘	盘 💽 💾 💿 📀
硬盘	硬盘 💽
软盘	软盘 💾
光盘	光盘 💿 📀
算盘	算盘 🧮
兑换	兑换 💱
电视	电视 📺
照相机	照相机 📷 📸
相机	相机 📷 📸
摄像机	摄像机 📹
录像机	录像机 📹
磁带	磁带 📼
放大镜	放大镜 🔍 🔎
找	找  🔍 🔎
查找	查找 🔍 🔎
镜子	镜子 🪞
窗	窗 🪟
搋子	搋子 🪠
捕鼠器	捕鼠器 🪤
老鼠夹	老鼠夹 🪤
蜡烛	蜡烛 🕯
灯	灯 💡 🪩
电灯	电灯 💡 🪩
灯泡	灯泡 💡 🪩
气泡	气泡 🫧
泡	泡 🫧
手电	手电 🔦
灯笼	灯笼 🏮
书	书 📕 📖 📗 📘 📙 📚
账本	账本 📒
词典	词典 📖
辞典	辞典 📖
纸	纸 📃 📜 📄 🧻
报纸	报纸 📰 🗞
书签	书签 📑 🔖
标签	标签 🏷
信用卡	信用卡 💳
收据	收据 🧾
发票	发票 🧾
信封	信封 ✉ 💌
信	信 ✉ 💌
电子邮件	电子邮件 📧 📨 📩 📤 📥
邮件	邮件 📧 📨 📩
包裹	包裹 📦
包装	包装 📦
箱	箱 📦
箱子	箱子 📦
盒子	盒子 📦
邮箱	邮箱 📧 📨 📩 📤 📥 📮 📫 📪 📬 📭
投票	投票 🗳
笔	笔 ✏ ✒ 🖋 🖊
铅笔	铅笔 ✏
钢笔	钢笔 ✒
画笔	画笔 🖌
蜡笔	蜡笔 🖍
圆珠笔	圆珠笔 🖊
备忘录	备忘录 📝 🗒 📇 📋
文件夹	文件夹 📂 📁 🗂 🗃 🗄
日历	日历 📅 📆 🗓
钉	钉 📌 📍 📎
图钉	图钉 📌 📍 📎
按钉	按钉 📌 📍 📎
摁钉	摁钉 📌 📍 📎
曲别针	曲别针 📎 🖇 🧷
回形针	回形针 📎 🖇 🧷
别针	别针 📎 🖇 🧷
尺	尺 📏 📐
直尺	直尺 📏
格尺	格尺 📏
三角尺	三角尺 📐
剪子	剪子 ✂ ✁ ✃ ✄
剪刀	剪刀 ✂ ✁ ✃ ✄
剃须刀	剃须刀 🪒
垃圾桶	垃圾桶 🗑 🚮 🚯
锁	锁 🔒 🔓 🔏 🔐
钥匙	钥匙 🔑 🗝
锤子	锤子 🔨 ⚒ 🛠
锤	锤 🔨 ⚒ 🛠
锄	锄 ⛏ ⚒
锄头	锄头 ⛏ ⚒
匕首	匕首 🗡 † ‡
剑	剑 ⚔
枪	枪 🔫
手枪	手枪 🔫
盾	盾 🛡
盾牌	盾牌 🛡
扳手	扳手 🔧
螺丝	螺丝 🔩
齿轮	齿轮 ⚙
轮子	轮子 🛞
轮	轮 🛞
轮胎	轮胎 🛞
夹子	夹子 🗜
天平	天平 ⚖
链子	链子 🔗 ⛓
工具箱	工具箱 🧰
磁铁	磁铁 🧲
吸铁石	吸铁石 🧲
蒸馏	蒸馏 ⚗
试管	试管 🧪
培养皿	培养皿 🧫
基因	基因 🧬
灭火器	灭火器 🧯
显微镜	显微镜 🔬
望远镜	望远镜 🔭
天线	天线 📡
高速	高速 🛣
路	路 🛣
公路	公路 🛣
高速公路	高速公路 🛣
针	针 💉 🪡
针线	针线 🪡
缝纫	缝纫 🪡
缝补	缝补 🪡
针管	针管 💉
药	药 💊
绳	绳 🪢
绳子	绳子 🪢
结	结 🪢
打结	打结 🪢
药丸	药丸 💊
门	门 🚪
床	床 🛏 🛌 🛌🏻 🛌🏼 🛌🏽 🛌🏾 🛌🏿
椅子	椅子 🪑 💺
沙发	沙发 🛋
马桶	马桶 🚽
淋浴	淋浴 🚿
浴缸	浴缸 🛁
扫帚	扫帚 🧹
篮子	篮子 🧺
卫生纸	卫生纸 🧻
手纸	手纸 🧻
香皂	香皂 🧼
肥皂	肥皂 🧼
海绵	海绵 🧽
香烟	香烟 🚬
烟	烟 🚬
棺材	棺材 ⚰️ ⚱
水龙头	水龙头 🚰
清洗	清洗 🧴
洗洁精	洗洁精 🧴
株式会社	株式会社 ㍿
平成	平成 ㍻
昭和	昭和 ㍼
大正	大正 ㍽
明治	明治 ㍾
令和	令和 ㋿
暴风	暴风 🌀
风暴	风暴 🌀
扑克	扑克 ♠ ♥ ♦ ♣ ♤ ♡ ♧ ♢ 🂡 🂱 🃁 🃑 🂢 🂲 🃂 🃒 🂣 🂳 🃃 🃓 🂤 🂴 🃄 🃔 🂥 🂵 🃅 🃕 🂦 🂶 🃆 🃖 🂧 🂷 🃇 🃗 🂨 🂸 🃈 🃘 🂩 🂹 🃉 🃙 🂪 🂺 🃊 🃚 🂫 🂻 🃋 🃛 🂬 🂼 🃌 🃜 🂭 🂽 🃍 🃝 🂮 🂾 🃎 🃞 🂠 🂿 🃏 🃟 🃠 🃡 🃢 🃣 🃤 🃥 🃦 🃧 🃨 🃩 🃪 🃫 🃬 🃭 🃮 🃯 🃰 🃱 🃲 🃳 🃴 🃵
黑桃	黑桃 ♠ ♤
红桃	红桃 ♥ ♡
方片	方片 ♦ ♢
梅花	梅花 ♣ ♧ 🀢
麻将	麻将 🀀 🀁 🀂 🀃 🀄 🀅 🀆 🀇 🀈 🀉 🀊 🀋 🀌 🀍 🀎 🀏 🀐 🀑 🀒 🀓 🀔 🀕 🀖 🀗 🀘 🀙 🀚 🀛 🀜 🀝 🀞 🀟 🀠 🀡 🀢 🀣 🀤 🀥 🀦 🀧 🀨 🀩 🀪 🀫
花札	花札 🎴
声音	声音 🔇 🔈 🔉 🔊
音量	音量 🔇 🔈 🔉 🔊
静音	静音 🔇
扩音器	扩音器 📢 📣
取款机	取款机 🏧
提款机	提款机 🏧
轮椅	轮椅 ♿ 🦽 🦼 👨‍🦽 👩‍🦽 🧑‍🦽 👨‍🦼 👩‍🦼 🧑‍🦼 👨🏻‍🦽 👨🏼‍🦽 👨🏽‍🦽 👨🏾‍🦽 👨🏿‍🦽 👩🏻‍🦽 👩🏼‍🦽 👩🏽‍🦽 👩🏾‍🦽 👩🏿‍🦽 🧑🏻‍🦽 🧑🏼‍🦽 🧑🏽‍🦽 🧑🏾‍🦽 🧑🏿‍🦽 👨🏻‍🦼 👨🏼‍🦼 👨🏽‍🦼 👨🏾‍🦼 👨🏿‍🦼 👩🏻‍🦼 👩🏼‍🦼 👩🏽‍🦼 👩🏾‍🦼 👩🏿‍🦼 🧑🏻‍🦼 🧑🏼‍🦼 🧑🏽‍🦼 🧑🏾‍🦼 🧑🏿‍🦼
拐杖	拐杖 🩼
X光	X光 🩻
休息室	休息室 🚻
厕所	厕所 🚾 🚹 🚺
盲文	盲文 ⠁ ⠂ ⠃ ⠄ ⠅ ⠆ ⠇ ⠈ ⠉ ⠊ ⠋ ⠌ ⠍ ⠎ ⠏ ⠐ ⠑ ⠒ ⠓ ⠔ ⠕ ⠖ ⠗ ⠘ ⠙ ⠚ ⠛ ⠜ ⠝ ⠞ ⠟ ⠠
警告	警告 ⚠️ 🚸 ☢️ ☣️
注意	注意 ⚠️ 🚸 ☢️ ☣️
禁止通行	禁止通行 ⛔
禁止	禁止 ⛔ 🚫 🚳 📵 🚭 🚯 🚱 🚷 🔞
辐射	辐射 ☢️
放射	放射 ☢️
法杖	法杖 ☤ 🪄 ‍⚕️
魔杖	魔杖 ☤ 🪄 ‍⚕️
性	性 ♂ ♀ ⚢ ⚣ ⚤ ⚥ ⚦ ⚧️ ⚧ ⚨ ⚩ ⚪ ⚫ ⚬ ⚭ ⚮ ⚯
性别	性别 ♂ ♀ ⚢ ⚣ ⚤ ⚥ ⚦ ⚧️ ⚧ ⚨ ⚩ ⚪ ⚫ ⚬ ⚭ ⚮ ⚯
两性	两性 ♂ ♀ ⚢ ⚣ ⚤ ⚥ ⚦ ⚧️ ⚧ ⚨ ⚩ ⚪ ⚫ ⚬ ⚭ ⚮ ⚯
心	心 💘 ❤ 💓 💔 ❤️‍🩹 ❤️‍🔥 💕 💖 💗 💙 💚 🤎 🤍 💛 🧡 💜 🖤 🩷 🩵 🩶 💝 💞 💟 ❣ ♡ ❥
心碎	心碎 💔
心脏	心脏 🫀
肺	肺 🫁
温泉	温泉 ♨
停	停 🛑 ✋ ✋🏻 ✋🏼 ✋🏽 ✋🏾 ✋🏿
停止	停止 🛑 ✋ ✋🏻 ✋🏼 ✋🏽 ✋🏾 ✋🏿
厘	厘 ㌢
质量	质量 ㎍ ㎎ ㎏
克	克 ㎍ ㎎ ㎏ ㌘
吨	吨 ㌧
距离	距离 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
长度	长度 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
米	米 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞ ㍍
弧度	弧度 ㎭ ㎮ ㎯
面积	面积 ㎟ ㎠ ㎡ ㎢
公顷	公顷 ㌶
体积	体积 ㎣ ㎤ ㎥ ㎦ ㎕ ㎖ ㎗ ㎘ ㍑
电流	电流 ㎀ ㎁ ㎂ ㎃ ㎄
安	安 🉃 ㎀ ㎁ ㎂ ㎃ ㎄
安培	安培 ㎀ ㎁ ㎂ ㎃ ㎄
容量	容量 ㎕ ㎖ ㎗ ㎘
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
频率	频率 ㎐ ㎑ ㎒ ㎓ ㎔
赫兹	赫兹 ㎐ ㎑ ㎒ ㎓ ㎔
速度	速度 ㎧
加速度	加速度 ㎨
压强	压强 ㎩ ㍱ ㎪ ㎫ ㎬
压力	压力 ㎩ ㍱ ㎪ ㎫ ㎬
帕	帕 ㎩ ㍱ ㎪ ㎫ ㎬
帕斯卡	帕斯卡 ㎩ ㍱ ㎪ ㎫ ㎬
电压	电压 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏	伏 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏特	伏特 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
功率	功率 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿
瓦	瓦 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
瓦特	瓦特 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
电阻	电阻 ㏀ ㏁
欧	欧 ㏀ ㏁
欧姆	欧姆 ㏀ ㏁
电容	电容 ㎊ ㎋ ㎌
法拉	法拉 ㎊ ㎋ ㎌
字节	字节 ㎅ ㎆ ㎇
对数	对数 ㏑ ㏒
摩尔	摩尔 ㏖
分贝	分贝 ㏈
平方米	平方米 ㎡
英里	英里 ㏕
纳米	纳米 ㎚
微米	微米 ㎛
毫米	毫米 ㎜
厘米	厘米 ㎝
千米	千米 ㎞ ㏎
立方米	立方米 m³
毫克	毫克 ㎎
千克	千克 ㎏
积分	积分 ∫ ∬ ∭ ∮ ∯ ∰ ⨌
零	零 〇 ⁰ ₀ ⓪ 𝟘 🄀 🄁 ⓿ 0̣ 0️⃣
一	一 壹 Ⅰ ⅰ 〡 ¹ ₁ ① 🈩 ⓵ 𝟙 ⒈ 🄂 ❶ ➊ 1̣ 1̇ ㊀ ㈠ ㆒ 1️⃣ 𓃉
二	二 贰 Ⅱ ⅱ 〢 ² ₂ ② 🈔 ⓶ 𝟚 ⒉ 🄃 ❷ ➋ 2̣ 2̇ ㊁ ㈡ ㆓ 🉂 2️⃣ 𓃊
三	三 叁 Ⅲ ⅲ 〣 ³ ₃ ③ 🈪 ⓷ 𝟛 ⒊ 🄄 ❸ ➌ 3̣ 3̇ ㊂ ㈢ ㆔ 🉁 3️⃣ 𓃋
四	四 肆 Ⅳ ⅳ 〤 ⁴ ₄ ④ ⓸ 𝟜 ⒋ 🄅 ❹ ➍ 4̣ 4̇ ㊃ ㈣ 4️⃣ 𓃌
五	五 伍 Ⅴ ⅴ 〥 ⁵ ₅ ⑤ ⓹ 𝟝 ⒌ 🄆 ❺ ➎ 5̣ 5̇ ㊄ ㈤ 5️⃣ 𓃍
六	六 陆 Ⅵ ⅵ 〦 ⁶ ₆ ⑥ ⓺ 𝟞 ⒍ 🄇 ❻ ➏ 6̣ 6̇ ㊅ ㈥ 6️⃣ 𓃎
七	七 柒 Ⅶ ⅶ 〧 ⁷ ₇ ⑦ ⓻ 𝟟 ⒎ 🄈 ❼ ➐ 7̣ 7̇ ㊆ ㈦ 7️⃣ 𓃏
八	八 捌 Ⅷ ⅷ 〨 ⁸ ₈ ⑧ ⓼ 𝟠 ⒏ 🄉 ❽ ➑ 8̣ ㊇ ㈧ 8️⃣ 𓃐
九	九 玖 Ⅸ ⅸ 〩 ⁹ ₉ ⑨ ⓽ 𝟡 ⒐ 🄊 ❾ ➒ 9̣ ㊈ ㈨ 9️⃣ 𓃑
十	十 拾 Ⅹ ⅹ 〸 ⑩ ⓾ ⒑ ❿ ➓ ㊉ ㈩ 🔟
百	百 佰
千	千 仟 ㌔
十一	十一 Ⅺ ⅺ ⑪
十二	十二 Ⅻ ⅻ ⑫
二十	二十 廿 〹
三十	三十 卅 〺
上标	上标 ⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ˜ ⁺ ⁻ ⁼ ⁽ ⁾ ᴬ ᵃ ᵄ ᵅ ᶛ ᴭ ᵆ ᴮ ᴯ ᵇ ᵝ ᶜ ᵓ ᶝ ᴰ ᵈ ᶞ ᵟ ᴱ ᵉ ᴲ ᵊ ᵋ ᶟ ᵌ ᶠ ᶡ ᶲ ᵠ ᴳ ᵍ ᶢ ˠ ᵞ ᴴ ʰ ᶣ ʱ ᴵ ⁱ ᶤ ᵎ ᶥ ᴶ ʲ ᶨ ᴷ ᵏ ᴸ ᶫ ˡ ᶩ ᶪ ᴹ ᵐ ᶬ ᵚ ᶭ ᴺ ᴻ ⁿ ᵑ ᶮ ᶯ ᴼ ᵒ ᶱ ᴽ ᴾ ᵖ ᴿ ʳ ʶ ʴ ʵ ˢ ᶴ ᶳ ᵀ ᵗ ᶵ ᶿ ᵁ ᵘ ᶶ ᶷ ᵙ ⱽ ᵛ ᶺ ᶹ ᵂ ʷ ˣ ᵡ ʸ ᶻ ᶾ ᶽ ᶼ
下标	下标 ₀ ₁ ₂ ₃ ₄ ₅ ₆ ₇ ₈ ₉ ₊ ₋ ₌ ₍ ₎ ‸ ᴀ ₐ ᴁ ʙ ᴃ ᵦ ᴄ ᴐ ᴒ ᴅ ᴆ ᴇ ₑ ₔ ᵩ ɢ ʛ ᴦ ᵧ ʜ ₕ ɪ ᵻ ᵢ ᴊ ⱼ ᴋ ₖ ʟ ₗ ᴌ ᴧ ᴍ ₘ ꟺ ɴ ᴎ ₙ ᴏ ₒ ɶ ʘ ᴓ ᴑ ᴘ ₚ ᴨ ᴪ ʀ ᵣ ᴙ ʁ ᴚ ᵨ ₛ ᴛ ₜ ᴜ ᵤ ᵾ ᴠ ᵥ ᴡ ₓ ᵪ ʏ ᴢ ᴣ
货币	货币 ₳ ฿ ₿ ￠ ₡ ¢ ₢ ₵ ₫ € ￡ £ ₤ ₣ ƒ ₲ ₭ Ł ₥ ₦ ₽ ₱ ＄ $ ₮ ℳ ₶ ₩ ￦ ¥ ￥ ₴ ₸ ¤ ₰ ៛ ₪ ₯ ₠ ₧ ﷼ 円 元 圓 ㍐ 원 ৳ ₹ ₨ ৲ ௹
钱	钱 💰 💸 🪙 💱 💲 💴 💵 💶 💷 ₳ ฿ ₿ ￠ ₡ ¢ ₢ ₵ ₫ € ￡ £ ₤ ₣ ƒ ₲ ₭ Ł ₥ ₦ ₽ ₱ ＄ $ ₮ ℳ ₶ ₩ ￦ ¥ ￥ ₴ ₸ ¤ ₰ ៛ ₪ ₯ ₠ ₧ ﷼ 円 元 圓 ㍐ 원 ৳ ₹ ₨ ৲ ௹
硬币	硬币 🪙
结构	结构 ⿰ ⿱ ⿲ ⿳ ⿴ ⿵ ⿶ ⿷ ⿸ ⿹ ⿺ ⿻ 〾
括号	括号 [] 〈〉 《》 ⁽⁾ ₍₎ 「」 『』 【】 〖〗 〔〕 ︵ ︶ ︷ ︸ ︹ ︺ ︻ ︼ ︽ ︾ ︿ ﹀ ﹁ ﹂ ﹃ ﹄ ﹙﹚ ﹛﹜ ﹝﹞ ﹤﹥ （） ＜＞ ｛｝
表	表 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦 📈 📉 📊
钟	钟 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦
钟表	钟表 🕛 🕧 🕐 🕜 🕑 🕝 🕒 🕞 🕓 🕟 🕔 🕠 🕕 🕡 🕖 🕢 🕗 🕣 🕘 🕤 🕙 🕥 🕚 🕦
统计	统计 📈 📉 📊
趋势	趋势 📈 📉 📊
